Food Category,Product,Kg of CO2e/pound of product produced,Kg of CO2e/kg of product produced,StandardPortionName,StandardPortionSize (kg)
Nuts/Seeds,Almonds,0.86,1.8959732,each,0.1
Nuts/Seeds,"Almonds, organic",1.62,3.5714844,each,0.1
Fruits/Berries,Apples,0.11,0.2425082,each,0.1
Fruits/Berries,"Apples, Fuji (premium)",0.12,0.2645544,each,0.1
Fruits/Berries,"Apples, Fuji (standard)",0.08,0.1763696,each,0.1
Fruits/Berries,"Apples, Granny Smith",0.05,0.110231,each,0.1
Fruits/Berries,"Apples, organic",0.09,0.1984158,each,0.1
Fruits/Berries,Apricots,0.1,0.220462,each,0.1
Seafood,"Arctic Char, farmed, filleted",8.36,18.4306232,each,0.1
Vegetables,Artichokes,0.12,0.2645544,each,0.1
Vegetables,Asparagus,0.4,0.881848,each,0.1
Seafood,Atlantic Cod,2.39,5.2690418,each,0.1
Seafood,"Atlantic Salmon, farmed",1.31,2.8880522,each,0.1
Seafood,"Atlantic Salmon, farmed, filleted",2.3,5.070626,each,0.1
Fruits/Berries,Bananas,0.12,0.2645544,each,0.1
Grains,"Barley, Malting Barley",0.14,0.3086468,each,0.1
Grains,"Barley, winter barley, organic",0.25,0.551155,each,0.1
Beans/Pulses,"Beans, Baby Lima",0.29,0.6393398,each,0.1
Beans/Pulses,"Beans, Blackeye",0.26,0.5732012,each,0.1
Vegetables,"Beans, Chinese Long Bean",0.12,0.2645544,each,0.1
Beans/Pulses,"Beans, common dry varieties",0.43,0.9479866,each,0.1
Beans/Pulses,"Beans, Dry Beans",0.36,0.7936632,each,0.1
Beans/Pulses,"Beans, Dry Beans, organic",0.24,0.5291088,each,0.1
Vegetables,"Beans, Green, Blue Lake Variety",0.2,0.440924,each,0.1
Beans/Pulses,"Beans, Large Lima",0.52,1.1464024,each,0.1
Beans/Pulses,"Beans, Lima/Blackeye",0.34,0.7495708,each,0.1
Vegetables,"Beans, Snap Beans",0.11,0.2425082,each,0.1
Meat/Poultry,"Beef Meat, pasture-fed",7.48,16.4905576,each,0.1
Meat/Poultry,"Beef Meat, ration-fed",8,17.63696,each,0.1
Processed Foods,Beer,0.17,0.3747854,each,0.1
Root Crops,"Beets, Sugarbeets",0.02,0.0440924,each,0.1
Vegetables,Bittermelon,0.05,0.110231,each,0.1
Fruits/Berries,Black Raspberry,0.26,0.5732012,each,0.1
Fruits/Berries,Blackberries,0.13,0.2866006,each,0.1
Fruits/Berries,"Blueberries, Highbush",0.38,0.8377556,each,0.1
Fruits/Berries,"Blueberries, Highbush, organic",0.33,0.7275246,each,0.1
