Food Category,Product,Icon name,Kg of CO2e/pound of product produced,Kg of CO2e/kg of product produced,StandardPortionName,StandardPortionSize (kg)
Nuts/Seeds,Almonds,,0.86,1.8959732,each,0.0012
Nuts/Seeds,"Almonds, organic",,1.62,3.5714844,each,0.0012
Fruits/Berries,Apples,apple,0.11,0.2425082,each,0.185
Fruits/Berries,Apricots,,0.1,0.220462,each,0.035
Seafood,Arctic Char,fish,8.36,18.4306232,fillet,0.17
Vegetables,Artichokes,artichoke,0.12,0.2645544,each,0.13
Vegetables,Asparagus,asparagus,0.4,0.881848,spears,0.03
Seafood,Cod,fish,2.39,5.2690418,fillet,0.17
Seafood,Salmon,fish,2.3,5.070626,fillet,0.17
Fruits/Berries,Bananas,banana,0.12,0.2645544,each,0.18
Grains,Barley,,0.14,0.3086468,cup,0.15
Grains,"Barley, organic",,0.25,0.551155,cup,0.15
Beans/Pulses,"Beans, Blackeye",beans,0.26,0.5732012,can,0.4
Vegetables,"Beans, Chinese Long Bean",beans,0.12,0.2645544,cup,0.09
Beans/Pulses,"Beans, Dry Beans",beans,0.36,0.7936632,cup,0.2
Vegetables,"Beans, Green",beans,0.2,0.440924,each,0.4
Beans/Pulses,"Beans, Lima",beans,0.34,0.7495708,each,0.4
Vegetables,"Beans, Snap Beans",beans,0.11,0.2425082,each,0.4
Meat/Poultry,Beef,steak,8,17.63696,steak,0.25
Processed Foods,Beer,,0.17,0.3747854,pint,0.5
Root Crops,Sugarbeets,,0.02,0.0440924,each,0.75
Vegetables,Bitter melon,,0.05,0.110231,each,0.13
Fruits/Berries,Raspberries,raspberry,0.26,0.5732012,each,0.0035
Fruits/Berries,Blackberries,raspberry,0.13,0.2866006,each,0.0035
Fruits/Berries,Blueberries,raspberry,0.38,0.8377556,each,0.0035
Fruits/Berries,Boysenberries,raspberry,0.09,0.1984158,each,0.0035
Processed Foods,Bread Flour,bread,0.25,0.551155,cup,0.15
Vegetables,Broccoli,broccoli,0.16,0.3527392,bunch,0.6
Vegetables,Brussels Sprouts,,0.12,0.2645544,each,0.01
Dairy,Butter,butter,0.53,1.1684486,tablespoon,0.015
Vegetables,Cabbage,lettuce,0.06,0.1322772,head,0.9
Vegetables,"Cabbage, chinese",lettuce,0.04,0.0881848,head,0.84
Nuts/Seeds,Canola Seeds,,0.39,0.8598018,cup,0.16
Fruits/Berries,Cantaloupe,,0.06,0.1322772,each,1.5
Root Crops,Carrots,carrot,0.05,0.110231,each,0.8
