Food Category,Product,Icon name,Kg of CO2e/pound of product produced,Kg of CO2e/kg of product produced,StandardPortionName,StandardPortionSize (kg)
Nuts/Seeds,Almonds,,0.86,1.8959732,each,0.0012
Nuts/Seeds,"Almonds, organic",,1.62,3.5714844,each,0.0012
Fruits/Berries,Apple,apple,0.11,0.2425082,each,0.185
Fruits/Berries,Apricot,,0.1,0.220462,each,0.035
Seafood,Arctic Char,fish,8.36,18.4306232,fillet,0.17
Vegetables,Artichoke,artichoke,0.12,0.2645544,each,0.13
Vegetables,Asparagus,asparagus,0.4,0.881848,spears,0.03
Vegetables,Aubergine,aubergine,0.23,0.5070626,each,0.45
,Avocado,,,1.37200311,each,0.17
Meat/Poultry,Bacon,,2.48,5.4674576,rashers,0.025
Fruits/Berries,Banana,banana,0.12,0.2645544,each,0.18
Grains,Barley,,0.14,0.3086468,cup,0.15
Grains,"Barley, organic",,0.25,0.551155,cup,0.15
Beans/Pulses,"Beans, Blackeye",beans,0.26,0.5732012,can,0.4
Vegetables,"Beans, Chinese Long Bean",beans,0.12,0.2645544,cup,0.09
Beans/Pulses,"Beans, Dry Beans",beans,0.36,0.7936632,cup,0.2
Vegetables,"Beans, Green",beans,0.2,0.440924,each,0.4
Beans/Pulses,"Beans, Lima",beans,0.34,0.7495708,each,0.4
Vegetables,"Beans, Snap Beans",beans,0.11,0.2425082,each,0.4
Meat/Poultry,Beef,steak,8,17.63696,serving,0.225
Processed Foods,Beer,,0.17,0.3747854,pint,0.5
Vegetables,Bell Pepper,,0.12,0.2645544,each,0.17
Vegetables,Bitter melon,,0.05,0.110231,each,0.13
Fruits/Berries,Blackberries,raspberry,0.13,0.2866006,each,0.0035
Fruits/Berries,Blood Orange,orange,0.08,0.1763696,each,0.14
Fruits/Berries,Blueberries,raspberry,0.38,0.8377556,each,0.0035
Fruits/Berries,Boysenberries,raspberry,0.09,0.1984158,each,0.0035
Processed Foods,Bread,bread,0.38,0.8377556,slice,0.04
Processed Foods,Bread Flour,bread,0.25,0.551155,cup,0.15
Processed Foods,Breakfast Cereal,,0.98,2.1605276,bowl,0.08
Vegetables,Broccoli,broccoli,0.16,0.3527392,bunch,0.6
Vegetables,Brussels Sprouts,,0.12,0.2645544,each,0.01
Dairy,Butter,butter,0.53,23.8,tbsp,0.015
Vegetables,Butternut Pumpkin,pumpkin,0.07,0.1543234,each,1.3
Vegetables,Cabbage,lettuce,0.06,0.1322772,head,0.9
